万	wan4
上	shang4
与	yu3
与	yu4
丧	sang1
丧	sang4
中	zhong1
中	zhong4
为	wei2
为	wei4
丽	li2
丽	li4
么	me5
乐	le4
乐	yue4
乘	cheng2
乙	yi3
了	le5
了	liao3
予	yu3
亟	ji2
亲	qin1
亲	qing4
亹	wei3
什	shen2
什	shi2
仆	pu2
仇	chou2
仇	qiu2
仔	zai3
仔	zi3
仡	ge1
仡	yi4
令	ling4
价	jia4
任	ren2
任	ren4
会	hui4
传	chuan2
传	zhuan4
伯	bo2
估	gu1
估	gu4
伺	ci4
伺	si4
似	si4
佃	dian4
佚	yi4
佛	fo2
佛	fu2
作	zuo4
佣	yong1
佣	yong4
侗	dong4
侗	tong2
供	gong1
供	gong4
侧	ce4
便	bian4
便	pian2
俊	jun4
俞	yu2
俟	qi2
俟	si4
倒	dao3
倒	dao4
倘	tang3
假	jia3
假	jia4
偈	ji4
偻	lou2
偻	lu:3
傀	kui3
僮	tong2
僮	zhuang4
儿	er2
儿	r5
克	ke4
免	mian3
兴	xing1
兴	xing4
冠	guan1
冠	guan4
冯	feng2
冲	chong1
冲	chong4
凉	liang2
几	ji1
几	ji3
凹	ao1
凹	wa1
分	fen1
分	fen4
切	qie1
切	qie4
划	hua2
划	hua4
创	chuang1
创	chuang4
刨	bao4
刨	pao2
别	bie2
刷	shua1
刹	cha4
刹	sha1
刺	ci4
削	xiao1
削	xue1
剌	la4
剡	shan4
剡	yan3
剥	bao1
剥	bo1
剿	jiao3
劈	pi1
劈	pi3
劲	jin4
劲	jing4
勒	le4
勒	lei1
勾	gou1
勾	gou4
化	hua4
匮	gui4
匮	kui4
匹	pi3
区	qu1
匾	bian3
华	hua2
卒	cu4
卒	zu2
单	dan1
单	shan4
卜	bo5
卜	bu3
占	zhan1
占	zhan4
卡	ka3
卡	qia3
卷	juan3
卷	juan4
厂	chang3
压	ya1
厕	ce4
厦	sha4
厦	xia4
参	can1
参	shen1
叉	cha1
发	fa1
发	fa4
句	gou1
句	ju4
叨	dao1
只	zhi1
只	zhi3
召	zhao4
可	ke3
可	ke4
叶	ye4
号	hao4
吁	yu4
合	he2
同	tong2
同	tong4
吐	tu3
吐	tu4
吒	zha1
吒	zha4
吓	he4
吓	xia4
吗	ma3
吗	ma5
否	fou3
吧	ba1
吧	ba5
听	ting1
吱	zhi1
呐	na4
呐	na5
呗	bai4
呗	bei5
呛	qiang1
呛	qiang4
呢	ne5
呢	ni2
呵	a1
呵	he1
咋	za3
咋	ze2
咋	zha4
和	he2
咥	die2
咧	lie1
咧	lie3
咯	ge1
咯	lo5
咯	luo4
咱	zan2
咳	ke2
咽	yan1
咽	yan4
咽	ye4
哄	hong1
哄	hong3
哄	hong4
哇	wa1
哈	ha1
哈	ha3
哏	gen2
哑	ya3
哗	hua1
哗	hua2
哟	yo1
哟	yo5
哦	o2
哦	o4
哦	o5
哩	li3
哩	li5
哪	na3
哪	na5
哺	bu3
唉	ai1
唉	ai4
唠	lao2
唠	lao4
唯	wei2
唷	yo1
啊	a1
啊	a4
啊	a5
啦	la1
啦	la5
啰	luo1
啰	luo5
喂	wei2
喂	wei4
喇	la1
喇	la3
喔	wo5
喝	he1
喝	he4
喳	cha1
喳	zha1
喷	pen1
嗯	en1
嗯	en4
嘌	piao4
嘲	chao2
噌	ceng1
嚓	ca1
嚓	cha1
囤	dun4
囤	tun2
囱	cong1
圈	juan4
圈	quan1
圜	huan2
圜	yuan2
圩	wei2
圩	xu1
地	de5
地	di4
场	chang3
坊	fang1
坊	fang2
坻	di3
垛	duo3
垛	duo4
埋	mai2
埏	yan2
埔	bu4
埔	pu3
堡	bao3
塞	sai1
塞	sai4
塞	se4
处	chu3
处	chu4
大	da4
夫	fu1
夯	ben4
夯	hang1
头	tou2
头	tou5
夹	jia1
夹	jia2
奄	yan3
奇	ji1
奇	qi2
奔	ben1
奔	ben4
奘	zang4
女	nu:3
好	hao3
好	hao4
妻	qi1
委	wei3
姥	lao3
姥	mu3
娜	na4
娩	mian3
媛	yuan2
媛	yuan4
嬛	huan2
子	zi3
子	zi5
孱	chan2
宁	ning2
宿	su4
宿	xiu3
宿	xiu4
将	jiang1
将	jiang4
少	shao3
少	shao4
尺	chi3
尽	jin3
尽	jin4
尾	wei3
尿	niao4
居	ju1
屏	bing3
屏	ping2
属	shu3
屯	tun2
岂	qi3
峇	ba1
峇	ke4
峒	dong4
峒	tong2
崭	zhan3
崴	wai3
崴	wei1
嵌	kan3
嵌	qian4
巂	xi1
差	cha1
差	cha4
差	chai1
帖	tie1
帖	tie3
幢	chuang2
幢	zhuang4
干	gan1
干	gan4
广	guang3
庑	wu3
应	ying1
应	ying4
底	di3
度	du4
廑	jin3
弄	long4
弄	nong4
弟	di4
弹	dan4
弹	tan2
强	qiang2
强	qiang3
当	dang1
当	dang4
待	dai4
得	de2
得	de5
徼	jiao3
徼	jiao4
忒	te4
恁	nen4
恁	nin2
恶	e3
恶	e4
恶	wu4
悄	qiao1
悄	qiao3
悝	kui1
戌	xu1
扁	bian3
扇	shan1
扇	shan4
扎	za1
扎	zha1
扎	zha2
扒	ba1
扒	pa2
打	da3
扛	gang1
扛	kang2
扫	sao3
扫	sao4
扳	ban1
把	ba3
折	zhe2
抡	lun1
抡	lun2
抢	qiang3
抹	ma1
抹	mo3
抹	mo4
拂	fu2
担	dan1
担	dan4
拓	ta4
拓	tuo4
拗	ao4
拗	niu4
拚	pin1
拧	ning2
拧	ning3
拽	zhuai4
拾	shi2
挑	tiao1
挑	tiao3
挝	wo1
挝	zhua1
挟	jia1
挟	xie2
挡	dang3
挣	zheng1
挣	zheng4
挨	ai1
挨	ai2
捋	lu:3
捋	luo1
据	ju4
掖	ye4
掺	chan1
揣	chuai1
揣	chuai3
搁	ge1
搂	lou3
摸	mo1
撇	pie1
撇	pie3
撒	sa1
撒	sa3
撩	liao1
撩	liao2
撮	cuo1
撮	zuo3
擂	lei2
擂	lei4
操	cao1
攒	cuan2
攒	zan3
教	jiao1
教	jiao4
敛	lian3
散	san3
散	san4
数	shu3
数	shu4
数	shuo4
斗	dou3
斗	dou4
旄	mao2
旋	xuan2
旋	xuan4
晃	huang3
晃	huang4
晕	yun1
晕	yun4
晟	sheng4
曲	qu1
曲	qu3
更	geng1
更	geng4
曾	ceng2
曾	zeng1
服	fu2
朝	chao2
朮	shu4
